title,neighbourhood,propertyType,numBedrooms,numBathrooms,floorArea,price,rating,sellerId,longitude,latitude,pricePerBedroom,deltaAvgPrice,deltaMedianPrice,dublinNorthSouth,distToCity,daysSincePublished,numFood,numRecreation,numShop,Apartment,Bungalow,Detached,Duplex,End of Terrace,Semi-D,Site,Terrace,Townhouse,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,E1,E2,F,G,SI_666,ZZZ,labels,labels_2,labels_3,price_decile,price_bucket
"18 Manor Place, Ongar Village, Ongar, Dublin 15",Dublin 15,Apartment,1.0,1.0,66,160000.0,D2,7490,-6.440503,53.396435,160000.0,183274.28571428574,120000.0,N,13.022131736015623,10,47,7,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,-1,0,Low
"4 Linenhall Street, Smithfield, Dublin 1",Dublin 1,Terrace,2.0,1.0,48,295000.0,E2,1087,-6.272371,53.35051,147500.0,21105.26315789472,5000.0,N,0.9957394961489668,15,55,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,3,Medium
"203 Castlecurragh Heath, Mulhuddart, Dublin 15",Dublin 15,Apartment,1.0,1.0,44,130000.0,D1,12,-6.395223,53.403378,130000.0,213274.28571428574,150000.0,N,10.675265870538464,10,33,9,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,-1,0,Low
"Apartment 156, Block 6, Harcourt Green, Dublin 2",Dublin 2,Apartment,2.0,2.0,75,399000.0,B3,262,-6.260185,53.331722,199500.0,19250.0,-4000.0,S,2.38005152086137,9,52,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,6,Medium
"Apartment 4, 67 Main Street, Clongriffin, Dublin 13",Dublin 13,Apartment,3.0,2.0,97,270000.0,B1,10123,-6.156724,53.402694,90000.0,144512.8205128205,80000.0,N,8.685897749618121,3,31,11,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-1,2,Low
"Apt 9 Lucerne, 39 Castle Avenue, Clontarf, Dublin 3",Dublin 3,Apartment,2.0,1.0,55,310000.0,SI_666,11766,-6.207086,53.362925,155000.0,168475.72815533978,85000.0,N,3.54878708127056,15,46,18,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,4,Medium
"Apartment 3, Tresmond, Coolmine Road, Coolmine, Dublin 15",Dublin 15,Apartment,2.0,1.0,57,199000.0,D1,577,-6.392336,53.381374,99500.0,144274.28571428574,81000.0,N,9.445255574020974,4,45,8,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-1,0,Low
"15 Sarsfield Quay Apartments, Liffey Street West, Dublin 7",Dublin 7,Duplex,3.0,2.0,100,355000.0,C3,435,-6.284269,53.347117,118333.33333333333,22430.107526881737,-5000.0,N,1.865039504838516,2,51,11,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,5,Medium
"27 Olaf Road, Arbour Hill, Stoneybatter, Dublin 7",Dublin 7,Terrace,2.0,1.0,47,265000.0,G,1087,-6.284323,53.351294,132500.0,112430.10752688174,85000.0,N,1.7574999688076538,21,50,10,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,3,2,Low
"46 Oxmantown Road, Stoneybatter, Dublin 7",Dublin 7,Terrace,2.0,-1.0,56,280000.0,F,1087,-6.291654,53.353738,140000.0,97430.10752688174,70000.0,N,2.2333302856278126,21,52,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,3,Medium
"Apartment 222, The Crescent, Park West, Dublin 12",Dublin 12,Apartment,2.0,2.0,84,229000.0,SI_666,7569,-6.377675,53.333277,114500.0,89117.64705882355,66000.0,S,8.239632795084189,3,42,9,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,4,-1,1,Low
"71 Parklands Court, Ballycullen, Dublin 16",Dublin 16,Apartment,2.0,1.0,70,255000.0,ZZZ,8210,-6.341428,53.274936,127500.0,252338.23529411765,220000.0,S,10.301641695244813,22,27,8,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,-1,2,Low
"24 The Wood, Millbrook Lawns, Tallaght, Dublin 24",Dublin 24,Terrace,3.0,1.0,90,285000.0,ZZZ,8210,-6.355033,53.281759,95000.0,-3467.3913043478387,-10000.0,S,10.21478363184947,22,37,7,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,-1,3,Medium
"1 Colepark Drive, Ballyfermot, Dublin 10",Dublin 10,End of Terrace,3.0,1.0,68,220000.0,F,463,-6.352373,53.344992,73333.33333333333,3160.0,5000.0,S,6.324726196415919,21,38,8,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,4,-1,1,Low
"86 Lohunda Downs, Clonsilla, Dublin 15",Dublin 15,Semi-D,3.0,1.0,93,288000.0,D2,399,-6.405209,53.387786,96000.0,55274.28571428574,-8000.0,N,10.493725472073741,11,44,9,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,-1,3,Medium
"8 St. John's Green, Clondalkin, Dublin 22",Dublin 22,Bungalow,2.0,1.0,64,225000.0,D1,7569,-6.40736,53.316825,112500.0,17820.0,2000.0,S,10.699453568851052,3,39,1,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,6,-1,1,Low
"43 Woodlawn Drive, Santry, Dublin 9",Dublin 9,Semi-D,3.0,3.0,97,350000.0,D2,9405,-6.233257,53.401033,116666.66666666667,52798.07692307694,30000.0,N,5.573387086977535,16,54,12,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,5,Medium
"Apartment 12, Blackhall View, Stoneybatter, Dublin 7",Dublin 7,Apartment,2.0,1.0,57,285000.0,B3,12,-6.282369,53.34993,142500.0,92430.10752688174,65000.0,N,1.6543602867800475,4,49,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,4,3,Medium
"23 Villa Blanchard, Blanchardstown, Dublin 15",Dublin 15,Apartment,2.0,1.0,53,220000.0,E1,399,-6.3766391877746855,53.38685573542115,110000.0,123274.28571428574,60000.0,N,8.714674274442084,9,42,9,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,3,-1,1,Low
"21 Fernleigh Court, Castleknock, Dublin 15",Dublin 15,Duplex,2.0,2.0,82,265000.0,D1,1590,-6.4033169,53.3725679,132500.0,78274.28571428574,15000.0,N,9.876309863542593,23,44,9,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-1,2,Low
"Block A, 2Nd Floor Apartment 27, Kilmainham, Dublin 8",Dublin 8,Apartment,2.0,1.0,57,270000.0,D1,463,-6.295363,53.343147,135000.0,71384.0,30000.0,S,2.7141069021257307,22,48,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,-1,2,Low
"Ashleigh, 49 Oakcourt Lawn, Palmerstown, Dublin 20",Dublin 20,Bungalow,1.0,1.0,47,210000.0,D2,463,-6.369556,53.347162,210000.0,101190.47619047621,80000.0,S,7.429225883317357,22,37,14,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,4,-1,0,Low
"45 Valley Park Road, Finglas South, Finglas, Dublin 11",Dublin 11,Terrace,3.0,1.0,74,209000.0,SI_666,10947,-6.321571,53.381077,69666.66666666667,90732.75862068968,73000.0,N,5.237687314422567,1,49,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,Low
"42 Valley Park Road, Finglas South, Finglas, Dublin 11",Dublin 11,Terrace,3.0,1.0,74,229000.0,SI_666,10947,-6.321318,53.381064,76333.33333333333,70732.75862068968,53000.0,N,5.223337055061773,1,47,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,1,Low
"Apartment 58, Gandon Hall, Dublin 1",Dublin 1,Apartment,1.0,1.0,39,220000.0,D2,1513,-6.255195,53.352292,220000.0,96105.26315789472,80000.0,N,0.20658639851520375,2,57,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,1,Low
"17 Maplewood Lawn, Tallaght, Dublin 24",Dublin 24,Terrace,3.0,2.0,80,275000.0,C3,10948,-6.383077,53.285016,91666.66666666667,6532.608695652161,0.0,S,11.232916588530035,3,38,4,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,8,-1,2,Low
"7 Kilcarberry Close, Clondalkin, Dublin 22",Dublin 22,Semi-D,3.0,1.0,78,280000.0,D1,7569,-6.41673,53.318522,93333.33333333333,-37180.0,-53000.0,S,11.211615909031783,3,42,2,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,6,-1,3,Medium
"165 Foxrock Close, Foxrock, Dublin 18",Dublin 18,Terrace,3.0,3.0,123,595000.0,C2,49,-6.166043,53.279024,198333.33333333334,-75604.93827160494,-170000.0,S,10.2483148739626,5,55,17,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,8,High
"Apartment 47, The Concert, Park West, Dublin 12",Dublin 12,Apartment,2.0,2.0,75,210000.0,C1,7554,-6.377753,53.333717,105000.0,108117.64705882355,85000.0,S,8.231650684528526,24,42,9,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,4,-1,0,Low
"10 Lealand Avenue, Clondalkin, Dublin 22",Dublin 22,Semi-D,3.0,2.0,94,259000.0,C2,7569,-6.412624,53.323155,86333.33333333333,-16180.0,-32000.0,S,10.785746205159773,3,45,3,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,6,-1,2,Low
"24 Adare Drive, Coolock, Dublin 17",Dublin 17,Terrace,3.0,1.0,73,285000.0,C1,10777,-6.208701,53.395435,95000.0,-24200.0,-35000.0,N,5.728348727663762,28,55,14,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,3,Medium
"Apartment 201, The Cubes 1, Beacon South Quarter, Sandyford, Dublin 18",Dublin 18,Apartment,2.0,2.0,80,350000.0,C1,8532,-6.216098,53.276637,175000.0,169395.06172839506,75000.0,S,8.940731434117657,21,38,13,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-1,5,Medium
"58 Marlfield Lawn, Kiltipper, Tallaght, Dublin 24",Dublin 24,End of Terrace,3.0,3.0,95,279000.0,D1,10948,-6.368654,53.271116,93000.0,2532.6086956521613,-4000.0,S,11.703546278951714,3,24,5,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,5,-1,3,Medium
"508 Lucan Road, Chapelizod, Dublin 20",Dublin 20,Semi-D,2.0,1.0,65,350000.0,SI_666,7569,-6.347245,53.348911,175000.0,-38809.52380952379,-60000.0,S,5.938057151666992,10,37,8,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,-1,5,Medium
"This Is It, 71 Rowlagh Park, Clondalkin, Dublin 22",Dublin 22,Terrace,3.0,1.0,97,235000.0,D1,8891,-6.406053,53.342367,78333.33333333333,7820.0,-8000.0,S,9.893532828315719,2,48,6,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,Low
"119 Glenmaroon Road, Palmerstown, Dublin 20",Dublin 20,Terrace,3.0,1.0,103,335000.0,C3,463,-6.367153,53.349331,111666.66666666667,-23809.523809523787,-45000.0,S,7.252384776937594,29,35,14,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,4,-1,4,Medium
"26 The Hampton, Santry Cross, Ballymun, Dublin 9",Dublin 9,Apartment,2.0,2.0,65,175000.0,D2,11,-6.264818,53.400763,87500.0,227798.07692307694,205000.0,N,5.3158056785862025,4,51,12,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,Low
"30 Conquer Hill Road, Clontarf, Dublin 3",Dublin 3,End of Terrace,3.0,1.0,99,565000.0,E2,9917,-6.189682,53.35999,188333.33333333334,-86524.27184466022,-170000.0,N,4.595302163162521,29,19,11,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,8,High
"9 Mount Argus Green, Harold's Cross, Dublin 6W",Dublin 6W,Terrace,3.0,2.0,90,460000.0,C2,967,-6.288795,53.322564,153333.33333333334,51096.774193548365,15000.0,S,3.96102903052751,30,48,16,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1,7,High
"Apartment 4A, Balnagowan, Palmerston Park, Dartry, Dublin 6",Dublin 6,Apartment,1.0,1.0,44,290000.0,C2,967,-6.256253,53.312561,290000.0,344198.1981981982,235000.0,S,4.506392438565311,30,48,18,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1,3,Medium
"23A Greenmount Lawns, Terenure, Dublin 6",Dublin 6,Apartment,1.0,1.0,56,275000.0,C3,9460,-6.281919,53.308741,275000.0,359198.1981981982,250000.0,S,5.178669283630304,25,50,16,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,-1,2,Low
"34 Ticknock Way, Ticknock Hill, Sandyford, Dublin 18",Dublin 18,Apartment,2.0,2.0,93,300000.0,C1,2615,-6.2438939,53.268411,150000.0,219395.06172839506,125000.0,S,9.45756224129981,29,47,9,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,3,Medium
"14 Park Drive Grove, Castleknock, Dublin 15",Dublin 15,Terrace,3.0,1.0,83,400000.0,C1,1590,-6.36704223,53.37649458,133333.33333333334,-56725.71428571426,-120000.0,N,7.683785271978439,30,35,15,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,3,-1,6,Medium
"Apartment 7, The Villa Building, Howth, Dublin 13",Dublin 13,Apartment,2.0,2.0,60,395000.0,C2,8505,-6.072202,53.38835,197500.0,19512.8205128205,-45000.0,N,12.926421288519476,31,33,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,6,Medium
"141 Drumfinn Avenue, Ballyfermot, Dublin 10",Dublin 10,End of Terrace,2.0,2.0,83,260000.0,E2,7569,-6.367672,53.345755,130000.0,-36840.0,-35000.0,S,7.320655973380442,16,39,14,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,4,-1,2,Low
"29 Kingston Grove, Ballinteer, Dublin 16",Dublin 16,Semi-D,3.0,1.0,87,475000.0,C3,49,-6.249499,53.270017,158333.33333333334,32338.23529411765,0.0,S,9.249843426640506,3,49,9,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,-1,7,High
"26 Manorfields Walk, Castaheany, Clonee, Dublin 15",Dublin 15,Terrace,2.0,1.0,70,250000.0,D1,1186,-6.424428,53.397586,125000.0,93274.28571428574,30000.0,N,12.090038014478532,14,47,8,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,2,Low
"34 Mask Road, Artane, Dublin 5",Dublin 5,End of Terrace,2.0,1.0,88,350000.0,D2,10777,-6.199385,53.382903,175000.0,46177.570093457936,30000.0,N,5.1061946853497195,30,53,18,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,5,Medium
"12 Ellesmere Avenue, North Circular Road, Dublin 7",Dublin 7,Semi-D,3.0,2.0,146,595000.0,C3,9918,-6.291904,53.357628,198333.33333333334,-217569.89247311826,-245000.0,N,2.3042926440277625,12,50,10,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,3,8,High
"Ovoca House, 13 Emorville Avenue, Portobello, Dublin 8",Dublin 8,Site,-1.0,-1.0,121.4058,275000.0,ZZZ,11257,-6.272503,53.3334,-275000.0,66384.0,25000.0,S,2.3912847862079767,31,53,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,5,2,Low
"12 Florence Street, Portobello, Dublin 8",Dublin 8,Terrace,3.0,2.0,96,475000.0,D2,2013,-6.269785,53.331092,158333.33333333334,-133616.0,-175000.0,S,2.567587326916316,18,52,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,7,High
"28 Montgomery Court, Foley Street, Dublin 1",Dublin 1,Apartment,2.0,1.0,57,275000.0,C1,1413,-6.249849,53.35245,137500.0,41105.26315789472,25000.0,N,0.5454519819012417,16,55,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,2,Low
"Ayla, 39 Beach Road, Sandymount, Dublin 4",Dublin 4,Terrace,3.0,4.0,147,950000.0,C1,893,-6.215883,53.335437,316666.6666666667,-242406.779661017,-455000.0,S,3.4146458122954195,14,51,17,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,6,9,High
"82 Ivy Court, Beaumont, Dublin 9",Dublin 9,Apartment,2.0,2.0,78,275000.0,E1,206,-6.228387,53.392434,137500.0,127798.07692307694,105000.0,N,4.791666882285801,23,55,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,-1,2,Low
"65 Seagrange Road, Baldoyle, Dublin 13",Dublin 13,Terrace,3.0,1.0,85,310000.0,C2,2050,-6.137998,53.393266,103333.33333333333,104512.8205128205,40000.0,N,9.122349846967928,22,43,13,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,Medium
"17 Hampton Wood Way, Saint Margaret's Road, Finglas, Dublin 11",Dublin 11,Terrace,2.0,3.0,76,220000.0,C3,10947,-6.286273,53.404184,110000.0,79732.75862068968,62000.0,N,5.978098250882949,11,53,8,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,-1,1,Low
"Apartment 66, Windmill Lane Apartments, Dublin 2",Dublin 2,Apartment,2.0,1.0,65,320000.0,E1,577,-6.243999,53.345264,160000.0,98250.0,75000.0,S,1.2731185866803028,35,53,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,5,4,Medium
"110 Boulevard, Bellgree, Tyrrelstown, Dublin 15",Dublin 15,Terrace,3.0,4.0,125,285000.0,B3,1815,-6.390882,53.422316,95000.0,58274.28571428574,-5000.0,N,11.692706717492843,24,31,7,21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,3,Medium
"10 Talbot Downs, Castleknock, Dublin 15",Dublin 15,Semi-D,4.0,3.0,130,565000.0,C2,1590,-6.36806612,53.38429039,141250.0,-221725.71428571426,-285000.0,N,8.07911419718907,26,38,10,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,3,-1,8,High
"22 Airpark Square, Rathfarnham, Dublin 14",Dublin 14,Terrace,3.0,3.0,103,449000.0,A2,11062,-6.306032,53.274571,149666.66666666666,153505.37634408602,146000.0,S,9.29091926390022,3,43,9,27,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,7,High
"12 Beechfield Drive, Clonee, Dublin 15",Dublin 15,Semi-D,3.0,3.0,97,295000.0,C3,9172,-6.439065,53.403132,98333.33333333333,48274.28571428574,-15000.0,N,13.22788448872553,16,34,7,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,3,Medium
"29 Willow Park Road, Glasnevin, Dublin 11",Dublin 11,Semi-D,5.0,1.0,138,445000.0,D2,11,-6.279688,53.392358,89000.0,-145267.24137931032,-163000.0,N,4.593398875023782,3,52,16,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,7,7,High
"61 Rathdown Square, North Circular Road, Dublin 7",Dublin 7,Duplex,2.0,1.0,58,299000.0,D1,7483,-6.287332,53.357234,149500.0,78430.10752688174,51000.0,N,1.9989585781592973,38,51,11,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,3,Medium
"11 Beverly Downs, Knocklyon, Dublin 16",Dublin 16,Semi-D,3.0,2.0,116,495000.0,D2,10949,-6.322601,53.281137,165000.0,12338.23529411765,-20000.0,S,9.074229178384348,18,40,6,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,7,High
"143 Clonliffe Road, Drumcondra, Dublin 3",Dublin 3,Terrace,2.0,1.0,97,475000.0,B3,11,-6.25018,53.362159,237500.0,3475.728155339777,-80000.0,N,1.1324270031352128,16,57,11,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,8,7,High
"38 Ashfield Park, Mulhuddart, Clonsilla, Dublin 15",Dublin 15,Semi-D,3.0,1.0,83,275000.0,D1,10947,-6.401171,53.401257,91666.66666666667,68274.28571428574,5000.0,N,10.895701800173866,1,33,9,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,-1,2,Low
"Apartment 48, Beacon, Ashtown, Dublin 15",Dublin 15,Apartment,1.0,1.0,45,210000.0,C1,4274,-6.310559,53.376695,210000.0,133274.28571428574,70000.0,N,4.361361149718441,25,50,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,Low
"19 Heathfield Crescent, Cappagh, Finglas, Dublin 11",Dublin 11,Terrace,2.0,3.0,80,235000.0,B3,10947,-6.321563,53.395236,117500.0,64732.75862068968,47000.0,N,6.299365458420604,30,44,16,15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,Low
